,SVM,KNN,DT,NB,LG,MACC
chromosome_6,0.7302969815,0.691083657903,0.597019230769,0.453670480364,0.703664394677,0.7302969815
chromosome_20,0.7302969815,0.653808828302,0.611678432327,0.504791058098,0.718775559883,0.7302969815
chromosome_15,0.7302969815,0.647542599805,0.601648003895,0.482067510549,0.716290976956,0.7302969815
chromosome_10,0.7302969815,0.668999918858,0.598939467705,0.478141837066,0.711195228822,0.7302969815
chromosome_12,0.7302969815,0.675619522882,0.5839719247,0.506137211944,0.707284972412,0.7302969815
chromosome_19,0.7302969815,0.67436911717,0.60592624148,0.451572541383,0.732796575787,0.732796575787
chromosome_8,0.7302969815,0.689672590068,0.596326679649,0.578891187926,0.688295196365,0.7302969815
chromosome_4,0.7302969815,0.689624716001,0.618461132749,0.535430460889,0.703584469328,0.7302969815
chromosome_16,0.7302969815,0.629818646543,0.618120334307,0.469392242778,0.718774748458,0.7302969815
chromosome_5,0.7302969815,0.684577247647,0.597962512171,0.484373580006,0.698503326842,0.7302969815
chromosome_13,0.7302969815,0.683392567348,0.607049253489,0.55608812074,0.711211457319,0.7302969815
chromosome_Y,0.7302969815,0.652670804933,0.60571770529,0.639852320675,0.7302969815,0.7302969815
chromosome_14,0.7302969815,0.684415774099,0.62592624148,0.513814102564,0.697254138267,0.7302969815
chromosome_21,0.7302969815,0.641228902954,0.615845504706,0.518893622201,0.711227280104,0.7302969815
chromosome_7,0.7302969815,0.670715676728,0.62217624148,0.495993589744,0.72023369036,0.7302969815
chromosome_17,0.7302969815,0.659977280104,0.57642364492,0.471811911717,0.727781158715,0.7302969815
chromosome_X,0.7302969815,0.672958049335,0.609259980526,0.469309883155,0.706099480688,0.7302969815
chromosome_1,0.7302969815,0.668006734826,0.577755193119,0.550574894515,0.713663988965,0.7302969815
chromosome_18,0.7302969815,0.679594693281,0.616743346316,0.512179081467,0.708840879585,0.7302969815
chromosome_3,0.7302969815,0.655107108082,0.595879990263,0.504758195391,0.697254138267,0.7302969815
chromosome_2,0.7302969815,0.681932814021,0.603330899059,0.470513226225,0.704802012334,0.7302969815
chromosome_9,0.7302969815,0.665314427134,0.594099318403,0.528843719572,0.698407172996,0.7302969815
chromosome_22,0.7302969815,0.680522557611,0.601920236936,0.472932083739,0.726467056151,0.7302969815
chromosome_11,0.7302969815,0.68456101915,0.620893378773,0.502179081467,0.707444823109,0.7302969815
