,SVM,KNN,DT,NB,LG,MACC
chromosome_6,0.7302969815,0.669240506329,0.595462106459,0.444840555015,0.720088851022,0.7302969815
chromosome_20,0.7302969815,0.644818240831,0.605333495618,0.489519636482,0.721402953586,0.7302969815
chromosome_15,0.7302969815,0.650108325219,0.618569052256,0.502195715677,0.721451233366,0.7302969815
chromosome_10,0.7302969815,0.670219084713,0.605540003246,0.49076760792,0.71507343395,0.7302969815
chromosome_12,0.7302969815,0.67669222655,0.614450665368,0.530318889971,0.725281564427,0.7302969815
chromosome_19,0.7302969815,0.661725494969,0.607769393054,0.463014443363,0.730232878935,0.7302969815
chromosome_8,0.7302969815,0.671515741642,0.609371957157,0.579019798767,0.710010142811,0.7302969815
chromosome_4,0.7302969815,0.675552986043,0.561200097371,0.532993752029,0.711179406037,0.7302969815
chromosome_16,0.7302969815,0.678021746186,0.597866764038,0.457852564103,0.716243508601,0.7302969815
chromosome_5,0.7302969815,0.672013956508,0.609435248296,0.493251785135,0.704994725738,0.7302969815
chromosome_13,0.7302969815,0.692318240831,0.606759980526,0.571375770854,0.729063615709,0.7302969815
chromosome_Y,0.7302969815,0.652670804933,0.61092461863,0.639852320675,0.7302969815,0.7302969815
chromosome_14,0.7302969815,0.669224277832,0.6068407173,0.508669668939,0.700922995781,0.7302969815
chromosome_21,0.7302969815,0.652670804933,0.616006166829,0.517611570919,0.70866317754,0.7302969815
chromosome_7,0.7302969815,0.678150762739,0.615862950341,0.479374391431,0.718919587796,0.7302969815
chromosome_17,0.7302969815,0.680555014606,0.628554040896,0.470546088932,0.734143135346,0.734143135346
chromosome_X,0.7302969815,0.665426403765,0.590525803311,0.474292843233,0.712509737098,0.7302969815
chromosome_1,0.7302969815,0.683167396949,0.56751501136,0.506247565725,0.698407578708,0.7302969815
chromosome_18,0.7302969815,0.669353294385,0.641052418046,0.517386806232,0.709962674456,0.7302969815
chromosome_3,0.7302969815,0.681853294385,0.58310572866,0.523828302499,0.698471681272,0.7302969815
chromosome_2,0.7302969815,0.679448636806,0.611903602726,0.45894352483,0.71882343395,0.7302969815
chromosome_9,0.7302969815,0.679304203181,0.623264767932,0.522562479714,0.71632343395,0.7302969815
chromosome_22,0.7302969815,0.680635751379,0.594531402142,0.464038461538,0.722685004869,0.7302969815
chromosome_11,0.7302969815,0.698453829925,0.614756572541,0.509742372606,0.717508925673,0.7302969815
