,SVM,KNN,DT,NB,LG,MACC
chromosome_6,0.7302969815,0.665443443687,0.623249756573,0.571022395326,0.782314995131,0.782314995131
chromosome_20,0.7302969815,0.657719084713,0.605716488153,0.606758763389,0.740488883479,0.740488883479
chromosome_15,0.7302969815,0.664081061344,0.593872930867,0.62703099643,0.750585037326,0.750585037326
chromosome_10,0.7302969815,0.689578059072,0.605478334956,0.652881369685,0.761979470951,0.761979470951
chromosome_12,0.7302969815,0.671628123986,0.61825097371,0.641390782214,0.7684530185,0.7684530185
chromosome_19,0.7302969815,0.701146949043,0.591551038624,0.602799415774,0.727764930217,0.7302969815
chromosome_8,0.7302969815,0.675779779292,0.594050632911,0.623395001623,0.75185086011,0.75185086011
chromosome_4,0.7302969815,0.679802418046,0.628810856865,0.628408795846,0.776000486855,0.776000486855
chromosome_16,0.7302969815,0.657494725738,0.590431272314,0.604227523531,0.743021340474,0.743021340474
chromosome_5,0.7302969815,0.668071648815,0.602977117819,0.588073677377,0.764590230445,0.764590230445
chromosome_13,0.7302969815,0.691082846478,0.608362950341,0.660430055177,0.763405144434,0.763405144434
chromosome_Y,0.7302969815,0.648922022071,0.613298442064,0.707429000325,0.7302969815,0.7302969815
chromosome_14,0.7302969815,0.699720058423,0.609357757222,0.605701882506,0.735377718273,0.735377718273
chromosome_21,0.7302969815,0.652863924051,0.618184436871,0.637415206102,0.725201233366,0.7302969815
chromosome_7,0.7302969815,0.706082846478,0.604387779942,0.596742940604,0.762123498864,0.762123498864
chromosome_17,0.7302969815,0.676949042519,0.609708698475,0.614628367413,0.749462836741,0.749462836741
chromosome_X,0.7302969815,0.66151695878,0.643680217462,0.553392973061,0.758260710808,0.758260710808
chromosome_1,0.7302969815,0.66042721519,0.609195877962,0.606936059721,0.77596965271,0.77596965271
chromosome_18,0.7302969815,0.67432083739,0.596615141188,0.642801444336,0.727814427134,0.7302969815
chromosome_3,0.7302969815,0.683054608893,0.603186465433,0.602977523531,0.776128691983,0.776128691983
chromosome_2,0.7302969815,0.679657578708,0.614629990263,0.590332684193,0.781305582603,0.781305582603
chromosome_9,0.7302969815,0.667813209997,0.605541220383,0.60060410581,0.750745293736,0.750745293736
chromosome_22,0.7302969815,0.682158390133,0.616037406686,0.55076598507,0.732893135346,0.732893135346
chromosome_11,0.7302969815,0.701147354755,0.608136562804,0.641469490425,0.749270934761,0.749270934761
