pStoppingDepth,1,2,3,4,5
ALL,1,1,1,1,1
ALL2,0.795,0.795,0.795,0.799,0.799
ALL3,0.856,0.856,0.856,0.883,0.883
ALL4,0.906,0.93,0.939,0.939,0.939
