>: [(2121, 1, 0.68714285714285717, 1)]
>: [(1521, 5, 0.69000000000000006, 1)]
>: [(1205, 3, 0.72047619047619038, 4)]
>: [(118, 6, 0.74809523809523804, 1)]
>: [(3607, 1, 0.76809523809523816, 1)]
>: [(17, 5, 0.7957142857142856, 4)]
>: [(24, 6, 0.81238095238095231, 2)]
>: [(46, 4, 0.81238095238095254, 4)]
>: [(239, 9, 0.81809523809523821, 4)]
>: [(238, 7, 0.82142857142857151, 4)]
>: [(180, 4, 0.82666666666666677, 4)]
>: [(104, 6, 0.83238095238095244, 4)]
>: [(15, 5, 0.84904761904761905, 4)]
>: [(383, 13, 0.8504761904761905, 4)]
>: [(381, 15, 0.85142857142857165, 4)]
using time: 1541.9465947151184
