>: [(3887, 3, 0.67666666666666664, 1)]
>: [(2203, 4, 0.71142857142857152, 1)]
>: [(2865, 1, 0.73476190476190473, 2)]
>: [(1168, 7, 0.73714285714285721, 4)]
>: [(88, 1, 0.74571428571428566, 1)]
>: [(13, 2, 0.75047619047619052, 4)]
>: [(1329, 3, 0.75714285714285723, 1)]
>: [(152, 4, 0.76238095238095238, 4)]
>: [(497, 6, 0.77047619047619054, 3)]
>: [(54, 6, 0.83238095238095222, 4)]
>: [(50, 8, 0.83476190476190459, 1)]
>: [(19, 9, 0.84333333333333338, 3)]
>: [(105, 6, 0.85238095238095257, 4)]
using time: 1497.8281757831573
