>: [(16974, 4, 0.66969696969696968, 4)]
>: [(14756, 3, 0.67151515151515151, 3)]
>: [(8533, 13, 0.70383838383838382, 1)]
>: [(4641, 3, 0.71151515151515143, 4)]
>: [(1964, 8, 0.71353535353535358, 0)]
>: [(945, 7, 0.73101010101010089, 4)]
>: [(10469, 12, 0.73424242424242425, 3)]
>: [(4531, 7, 0.74292929292929288, 0)]
>: [(6072, 6, 0.75101010101010102, 4)]
>: [(194, 6, 0.75898989898989899, 0)]
>: [(374, 3, 0.76939393939393952, 4)]
>: [(79, 3, 0.78212121212121199, 0)]
>: [(757, 7, 0.80666666666666664, 1)]
>: [(644, 4, 0.81070707070707082, 3)]
>: [(553, 9, 0.81868686868686869, 4)]
using time: 15027.692883491516
