,SVM,KNN,DT,NB,LG,MACC
chromosome_6,0.7302969815,0.656613924051,0.592672022071,0.488221356702,0.689481499513,0.7302969815
chromosome_20,0.7302969815,0.638473304122,0.606949853944,0.472997809153,0.723902547874,0.7302969815
chromosome_15,0.7302969815,0.645010954236,0.601888185654,0.515096153846,0.722621308017,0.7302969815
chromosome_10,0.7302969815,0.675426403765,0.601633398247,0.481970545278,0.703551200909,0.7302969815
chromosome_12,0.7302969815,0.661419993509,0.59317429406,0.523957319052,0.716372119442,0.7302969815
chromosome_19,0.7302969815,0.67831101915,0.596856945797,0.464375608569,0.727732878935,0.7302969815
chromosome_8,0.7302969815,0.669192632262,0.596759980526,0.577577896787,0.690891350211,0.7302969815
chromosome_4,0.7302969815,0.672878123986,0.60182246024,0.518812074002,0.68701273937,0.7302969815
chromosome_16,0.7302969815,0.656756329114,0.62377839987,0.451604592665,0.70720464135,0.7302969815
chromosome_5,0.7302969815,0.670537974684,0.572418451801,0.48945431678,0.672911392405,0.7302969815
chromosome_13,0.7302969815,0.682095098994,0.591824894515,0.567465920156,0.704897760467,0.7302969815
chromosome_Y,0.7302969815,0.665203261928,0.599290408958,0.685731499513,0.7302969815,0.7302969815
chromosome_14,0.7302969815,0.663984501785,0.601985556637,0.536793654658,0.706115303473,0.7302969815
chromosome_21,0.7302969815,0.643745942876,0.624996754301,0.549468516715,0.727764930217,0.7302969815
chromosome_7,0.7302969815,0.688390538786,0.596760791951,0.496026046738,0.701067023694,0.7302969815
chromosome_17,0.7302969815,0.681884939955,0.573746754301,0.479278643298,0.717669182084,0.7302969815
chromosome_X,0.7302969815,0.656404576436,0.597723141837,0.451538461538,0.700810613437,0.7302969815
chromosome_1,0.7302969815,0.684513145083,0.606823677377,0.494550876339,0.686917396949,0.7302969815
chromosome_18,0.7302969815,0.659063615709,0.587624959429,0.572448880234,0.713775965596,0.7302969815
chromosome_3,0.7302969815,0.651292599805,0.578891999351,0.537994563453,0.680715676728,0.7302969815
chromosome_2,0.7302969815,0.673006329114,0.582688250568,0.483253002272,0.681885751379,0.7302969815
chromosome_9,0.7302969815,0.661452044791,0.600620740019,0.516216731581,0.701051606621,0.7302969815
chromosome_22,0.7302969815,0.669112706913,0.591696283674,0.478268825057,0.727749107433,0.7302969815
chromosome_11,0.7302969815,0.678039597533,0.609612138916,0.516329519636,0.693278967868,0.7302969815
