,SVM,KNN,DT,NB,LG,MACC
chromosome_6,0.7302969815,0.662863112626,0.619642973061,0.454952125933,0.709802012334,0.7302969815
chromosome_20,0.7302969815,0.651099886401,0.602719490425,0.502162447257,0.725217867575,0.7302969815
chromosome_15,0.7302969815,0.66020366764,0.581729552093,0.494679081467,0.713775965596,0.7302969815
chromosome_10,0.7302969815,0.669064021422,0.600540814671,0.493283836417,0.704768743914,0.7302969815
chromosome_12,0.7302969815,0.660345261279,0.587962917884,0.511200908796,0.712654982149,0.7302969815
chromosome_19,0.7302969815,0.656469084713,0.596711295034,0.457870009737,0.730280753002,0.7302969815
chromosome_8,0.7302969815,0.675458049335,0.577417234664,0.571375770854,0.699785378124,0.7302969815
chromosome_4,0.7302969815,0.679385345667,0.633522801039,0.516472330412,0.708743508601,0.7302969815
chromosome_16,0.7302969815,0.667846478416,0.600524991886,0.47318930542,0.725185816293,0.7302969815
chromosome_5,0.7302969815,0.679526939305,0.606870334307,0.475464135021,0.702398571892,0.7302969815
chromosome_13,0.7302969815,0.669337877313,0.600364735475,0.552273206751,0.712429811749,0.7302969815
chromosome_Y,0.7302969815,0.652670804933,0.609530590717,0.639852320675,0.7302969815,0.7302969815
chromosome_14,0.7302969815,0.687060613437,0.604580899059,0.495865790328,0.689738721194,0.7302969815
chromosome_21,0.7302969815,0.648824651087,0.609498539435,0.518893622201,0.709961457319,0.7302969815
chromosome_7,0.7302969815,0.679543979228,0.595398003895,0.503749188575,0.707461051607,0.7302969815
chromosome_17,0.7302969815,0.637431840312,0.586199691659,0.475705533918,0.73417559234,0.73417559234
chromosome_X,0.7302969815,0.660186627718,0.620830493346,0.471760791951,0.707349480688,0.7302969815
chromosome_1,0.7302969815,0.655154576436,0.622158795846,0.512433463161,0.703551606621,0.7302969815
chromosome_18,0.7302969815,0.669290003246,0.60289719247,0.518701314508,0.708680217462,0.7302969815
chromosome_3,0.7302969815,0.666355485232,0.582930866602,0.507305663746,0.702366114898,0.7302969815
chromosome_2,0.7302969815,0.650363112626,0.610733122363,0.484519230769,0.712542194093,0.7302969815
chromosome_9,0.7302969815,0.671788786108,0.610862950341,0.512466325868,0.702350292113,0.7302969815
chromosome_22,0.7302969815,0.676789191821,0.591649221032,0.472996592016,0.727749107433,0.7302969815
chromosome_11,0.7302969815,0.684352888673,0.598826273937,0.502242372606,0.709993914314,0.7302969815
